actor,weibo_name,follower
完颜洛绒,完颜洛绒,126万
张震,張震,202.5万
刘馨棋,Maggie刘馨棋,16.2万
许雅婷,许雅婷Kabby,266.1万
柳知萧,柳知萧,5.8万
王霏霏,王霏霏Fei,1047.4万
邓为,邓为D,265.9万
刘硕,刘硕413,48万
杨千嬅,楊千嬅,1584.5万
周韵,爱情的印象官方微博,1.5万
佟梦实,佟梦实,836.5万
夏志远,夏志远远,573.3万
陈子由,陈子由RUN,856.8万
李艾,李艾,572万
潘美烨,潘美烨Cola,51.3万
周澄奥,周澄奥_Actor,248.1万
赵圆圆,演员赵圆圆,105.2万
罗钢,罗钢微博,10.9万
言承旭,言承旭Jerry,443.4万
闫夜桥,月夜桥嗷嗷嗷,13.4万
官鸿,官鸿Kuan,1098.9万
罗予彤,罗予彤,135.7万
李逸男,李逸男,223.8万
钟汉良,钟汉良,2496.8万
陈欢,陈欢,211.9万
黄婷婷,SNH48-黄婷婷,994.5万
张振朗,張振朗Owen,62.4万
赵熠洋,No weibo account,
何昶希,何昶希HCX,666.7万
马歌,No weibo account,
王珮寒,王珮寒,105.2万
洪尧,洪尧,483.1万
张思帆,张思帆Fan,459.6万
文咏珊,JaniceMan文咏珊,1058.8万
李立宏,配音员李立宏,2万
余俪,余俪-hazy,12.4万
边天扬,边边边天扬,195.5万
张亮,张亮Sean,2426.8万
彭雅琦,Yakisa彭雅琦,28.3万
姚晨,姚晨,8384万
王迅,演员王迅,416.1万
胡阳,胡阳一个跳舞的人,15.6万
邓超,邓超,8055.4万
巩峥,巩峥,115.5万
