剧名,集数,制作,首播,主演,题材
荣耀乒乓,44,2018,3月9日 爱奇艺,白敬亭、许魏洲,青春
别想打扰我学习,24,2020,3月10日 湖南卫视青春进行时,赖冠霖、李兰迪,青春
你是我的城池营垒,40,2019,3月11日 腾讯视频/爱奇艺/优酷首播，5月27日 央视八套(22:20)上星,马思纯、白敬亭,都市
若你安好便是晴天,45,2019,3月17日 东方卫视,张翰、徐璐,都市
爱在星空下,46,2017,3月17日 浙江卫视,贾乃亮、陈意涵、陈小纭,都市
大宋宫词,61,2018,3月20日 腾讯视频/爱奇艺/优酷首播，10月21日 江苏卫视上星,刘涛、周渝民,古装
一起深呼吸,40,2019,3月23日 腾讯视频/爱奇艺首播，12月19日 江苏卫视上星,戚薇、杨祐宁,都市
海洋之城,43,2018,3月23日 江苏卫视,张翰、王丽坤、王冠逸,都市
陪你一起长大,40,2020,3月28日 湖南卫视金鹰独播剧场,刘涛、李光洁、颖儿、李宗翰,都市
理智派生活,35,2020,3月31日 湖南卫视青春进行时,秦岚、王鹤棣、李宗翰、包文婧,都市
明天我们好好过,45,2017,3月31日 央视八套,佟丽娅、张亮,都市
长歌行,49,2020,3月31日 山东卫视(22ː30),迪丽热巴、吴磊、刘宇宁、赵露思,古装
小舍得,42,2020,4月11日 东方卫视/央视八套,宋佳、佟大为、蒋欣、李佳航,都市
武当一剑,42,2017,4月13日 央视八套(21ː30),于非凡、柴碧云,古装
骊歌行,55,2019,4月15日 腾讯视频/爱奇艺,李一桐、许凯,古装
小女霓裳,40,2019,4月20日 厦门影视频道/优酷,毕雯珺、 厉嘉琪,古装
八零九零,39,2020,4月21日 湖南卫视金鹰独播剧场,白敬亭、吴倩,都市
风暴舞,43,2018,4月25日 腾讯视频/爱奇艺/优酷,陈伟霆、古力娜扎,都市
我亲爱的“小洁癖”,24,2020,5月9日 芒果TV,沈月、刘以豪,都市
生活家,36,2020,5月13日 央视八套,刘敏涛、文淇、邱泽、刘心悠（客串ː田原）,都市
我的漂亮朋友,42,2019,5月14日 腾讯视频,张天爱、徐开骋、高至霆,都市
月光变奏曲,36,2020,5月20日 爱奇艺,虞书欣、丁禹兮、杨仕泽（客串ː朱泳腾、百克力）,都市
壮志高飞,47,2017,5月27日 腾讯视频/爱奇艺/优酷,陈乔恩、郑恺,都市
长河大典（第一季）,6,2020,6月1日 央视频,施佩含、季昱彤、吴璇,古装
飞鸟集,40,2018,6月3日 腾讯视频/芒果TV,徐璐、高至霆,青春
美好的日子,48,2019,6月3日 浙江/江苏卫视,王千源、童蕾,都市
胭脂债,26,2017,6月5日 优酷,于文文、杨业明、姚望、戚砚笛、汪卓成,古装
像我们这样奋斗,37,2020,6月7日 南京影视频道,张桐、朱锐、侯京健、侯梦莎,都市
青春须早为,47,2018,6月9日 芒果TV,胡一天、钟楚曦,青春
海上繁花,41,2016,6月23日 腾讯视频/爱奇艺/优酷/芒果tv/乐视视频,窦骁、李沁、张云龙,都市
我和我们在一起,35,2020,6月28日 腾讯视频/爱奇艺/优酷/芒果tv/乐视视频,孙怡、张彬彬,都市
对你的爱很美,40,2020,7月13日 湖南卫视金鹰独播剧场,张嘉译、沙溢、刘敏涛,都市
我是真的爱你,40,2019,7月19日 北京/东方卫视,刘涛、杜淳、李念、王媛可,都市
我在他乡挺好的,12,2021,7月19日 湖南卫视芒果季风,周雨彤、任素汐、孙千,都市
青春向前冲,40,2016,7月21日 央视八套 (12̠ː45),袁冰妍、佟梦实、张子文,青春
古董局中局之掠宝清单,44,2019,7月21日 腾讯视频,屈楚萧、陈钰琪,民初
心跳源计划,42,2018,7月22日 浙江/江苏卫视,宋茜、罗云熙,都市
玉楼春,43,2020,7月25日 长沙新闻频道，7月26日 优酷，2023年1月24日 湖南卫视白天档（上星）,白鹿、王一哲,古装
